我的账户	101000
企业网银首次登录	企业网银首次登录：1.请您将USBKey插入电脑，登录我行网站点击“企业网上银行”，输入UK密码后，即可到达我行企业网银登录界面，系统会回显企业客户号和用户编号，请您确认相应信息后，输入登录密码和验证码，点击“登录”即可。2.初次登录时，需要重新设定网银的登录密码，请您按照页面提示操作即可。
网上银行企业客户证书有效期是多久	目前我行发放给客户的数字证书有效期为两年。
企业网银“跨行快速转账”时，录入员录入成功，进行授权时提示无授权模式	如果您在授权时提示无授权模式，1.需要您登录授权员账户后在“企业管理台”—“授权模式设置”菜单下修改授权模式，将授权模式设定为“无金额”模式；2.然后在“企业管理台”--“开通业务维护”中，为“跨行快速转账”业务选择添加该授权模式即可。
怎样查询企业网银转账额度	如果您需要查询企业网银额度，可以登录企业网银，依次进入“客户服务”--“查询”--“额度查询”，即可查询到您当天通过网银转账的使用额度。
办理网上银行跨行汇款时选择不到收款行，怎么办	您办理跨行汇款业务时，请正确选择收款方的开户行名称，若列表中没有，则请与收款方（或收款行）联系咨询是否可以选择该网点的上级行或其他网点；若仍无法选择收款行，则建议持有效身份证件及款项到我行营业网点办理跨行汇款手续。
网上银行的服务时间	我行网上银行能够提供全天候7×24小时的服务。
网银跨行汇款一般多长时间到账	通过我行网上银行跨行汇款，只要您填写的收款账号、户名、开户行等信息正确无误的情况下，我行系统会立即为您汇出，但由于每个收款银行的系统不同，入账时间有所不同，因此具体到账的时间也会略有不同。请您不要着急，耐心等待一下，如果确实长时间无法到账，您可以再次来电向我们反映，我们将协助您进行查询。
办理网上银行汇款时，系统提示“超出人行大额服务时间”是怎么回事	出现提示“超出人行大额服务时间”的原因是因为您在进行转账时选择了加急或者汇款金额超出了5万元。如果通过我行网上银行汇款时选择“加急”方式，目前只能在正常工作日的9：00－16：00时间段内进行（该时间根据人民银行大额支付系统运行时间确定）。
网上银行向村镇银行转账不成功	通过我行网银向村镇银行转账，建议选择“跨行转账”-“普通模式”即可成功。
更新网上银行证书时，提示CSP错误	如果在更新证书时提示CSP错误，您可以将我行网址加入可信任站点后，再清理缓存并重启浏览器再次尝试下载。
个人网银USB Key丢失了怎么办	USBKey丢失后，您需要去我行营业网点办理证书补发业务，重新申请USBKey。
网上银行UK插入电脑没反应，不弹网页怎么回事	插入UK电脑没有反映可以按以下方式尝试：1.首先请您判断是否USB端口是否正常，您可以将UK插入其他USB端口尝试；2.您可查看是否UK损坏。一代UK与电脑连接后尾部指示灯闪亮，二代UK显示屏显示“济宁银行”字样；3.您也可通过电脑依次点击“开始”-“程序”-“济宁银行网上银行安全组件”找到相应驱动运行；4.登录我行官方网站下载网银助手修复电脑。
网上银行代发工资的功能	通过代发工资功能您可以使用您的企业网上银行向我行银行卡批量转账，省去您发放工资的过程，实时、快捷、高效。最多可一次代发2000笔账户。
网上银行中什么是资金归集	通过资金归集功能，您可以设定相应的规则将您的他行账户资金自动汇集到您的儒商卡中，方便您管理您的资产。
怎么使用网上银行资金归集功能	如果想使用资金归集功能需要做以下的操作：1.首先点击账户管理-协议管理-查询协议签约和支付协议签约，分别签约他行账户；2.其次点击资金归集-资金归集指令管理设定，设定成功后次日即可正常运行。注：您的他行账户的也需要开通UK版的网上银行才可以使用哦~
网上银行UK的PIN码锁定怎么办	USBkey的PIN码累计连续6次输入错误后会被锁定，不能继续使用。解决方法为：1.个人客户需要持本人有效身份证件、银行卡及USBkey到我行营业网点办理相关业务。2.企业用户需要携带组织机构代码证、营业执照等开户资料，以及法人代表身份证件、经办人身份证件、授权书、被锁定操作员或录入员账户的有效身份证件、企业相关印鉴、USBkey等至对公户网银开户网点办理。
如何下载、安装网银UK驱动程序	USBKey插入电脑后，会自动进行安装，安装成功后在您桌面右下角会出现我行证书管理工具图标（我行行标）。如果插入USBKEY,桌面右下角未出现图标，此时需要您手动安装其驱动程序。方法为：插入USBKEY，双击“我的电脑”，在“有移动存储的设备”中可以看到一个带有“JININGBANK”图标的盘符。右键点击该盘符，选择“打开”，运行里面的安装文件即可。或者在我行门户网站下载安装我行网银助手。
网上银行跨行汇款业务时怎么查询收款行	跨行汇款查询收款行方法：1.实时汇款查询收款行时请直接选择收款行的名称；若常用收款行列表中没有，则选择“其他”查询，需要输入收款行名的关键字，多个关键字之间用“#”号间隔；2.快速汇款/普通汇款查询收款行时需要输入收款行名全称的关键字，多个关键字之间用“#”号间隔。
什么是pin码	PIN码是我行USBKEY的密码，他的初始密码是123456，你可以自行更改，更改后既可以是纯数字也可以是字母加数字的组合。
手机银行安全提示	如果您需要了解手机银行在使用时的注意事项，请登录我行官方网站查阅。
手机银行的签约方式	手机银行签约方式分为两种方式：1.个人客户携带本人身份证原件、济宁银行儒商卡和手机，至就近济宁银行营业网点，即可签约开通手机银行；2.企业客户需由企业经办人及手机银行操作员携带本人身份证原件、企业身份证明材料及企业法人授权委托书（法定代表人本人办理时不需要），至账户开户网点，即可签约开通手机银行。
如何下载手机银行	WX0140
手机银行的适配手机机型	目前我行手机银行适配多种机型，具体机型咨询请拨打我行客服热线400-677-0537或直接到我行网点咨询办理。
